Dang tai model YOLOv8l-pose ...
=== Train/climb: 379 video ===
  [1/379] OK 54_1.mp4 -> 62 frame, 5 chuoi
  [2/379] OK 58_2.mp4 -> 87 frame, 10 chuoi
  [3/379] OK 61.mp4 -> 51 frame, 3 chuoi
  [4/379] OK 10_1.mp4 -> 55 frame, 4 chuoi
  [5/379] OK 10_2.mp4 -> 74 frame, 7 chuoi
  [6/379] BO QUA 10_3.mp4 (chi co 37 frame co pose < 40)
  [7/379] OK 10_4.mp4 -> 49 frame, 2 chuoi
  [8/379] BO QUA 10_5.mp4 (chi co 0 frame co pose < 40)
  [9/379] OK 10_6.mp4 -> 69 frame, 6 chuoi
  [10/379] OK 11_1.mp4 -> 301 frame, 53 chuoi
  [11/379] OK 11_2.mp4 -> 374 frame, 67 chuoi
  [12/379] OK 11_3.mp4 -> 306 frame, 54 chuoi
  [13/379] OK 11_4.mp4 -> 379 frame, 68 chuoi
  [14/379] OK 12_1.mp4 -> 194 frame, 31 chuoi
  [15/379] OK 12_10.mp4 -> 239 frame, 40 chuoi
  [16/379] OK 12_12.mp4 -> 54 frame, 3 chuoi
  [17/379] OK 12_2.mp4 -> 152 frame, 23 chuoi
  [18/379] OK 12_4.mp4 -> 183 frame, 29 chuoi
  [19/379] OK 12_6.mp4 -> 186 frame, 30 chuoi
  [20/379] OK 14_14.mp4 -> 45 frame, 2 chuoi
  [21/379] OK 15_13.mp4 -> 84 frame, 9 chuoi
  [22/379] OK 16_1.mp4 -> 167 frame, 26 chuoi
  [23/379] OK 16_10.mp4 -> 91 frame, 11 chuoi
  [24/379] OK 16_3.mp4 -> 161 frame, 25 chuoi
  [25/379] OK 16_5.mp4 -> 126 frame, 18 chuoi
  [26/379] OK 16_6.mp4 -> 107 frame, 14 chuoi
  [27/379] OK 16_7.mp4 -> 108 frame, 14 chuoi
  [28/379] OK 16_8.mp4 -> 81 frame, 9 chuoi
  [29/379] OK 16_9.mp4 -> 126 frame, 18 chuoi
  [30/379] OK 17_10.mp4 -> 47 frame, 2 chuoi
  [31/379] OK 17_11.mp4 -> 47 frame, 2 chuoi
  [32/379] OK 17_2.mp4 -> 224 frame, 37 chuoi
  [33/379] OK 17_4.mp4 -> 152 frame, 23 chuoi
  [34/379] OK 17_6.mp4 -> 135 frame, 20 chuoi
  [35/379] OK 17_7.mp4 -> 163 frame, 25 chuoi
  [36/379] OK 17_8.mp4 -> 198 frame, 32 chuoi
  [37/379] OK 17_9.mp4 -> 185 frame, 30 chuoi
  [38/379] OK 18_10.mp4 -> 123 frame, 17 chuoi
  [39/379] OK 18_11.mp4 -> 122 frame, 17 chuoi
  [40/379] OK 18_12.mp4 -> 214 frame, 35 chuoi
  [41/379] OK 18_2.mp4 -> 91 frame, 11 chuoi
  [42/379] OK 18_3.mp4 -> 121 frame, 17 chuoi
  [43/379] OK 18_4.mp4 -> 70 frame, 7 chuoi
  [44/379] OK 18_5.mp4 -> 80 frame, 9 chuoi
  [45/379] OK 18_6.mp4 -> 69 frame, 6 chuoi
  [46/379] OK 18_7.mp4 -> 71 frame, 7 chuoi
  [47/379] OK 18_8.mp4 -> 121 frame, 17 chuoi
  [48/379] OK 18_9.mp4 -> 91 frame, 11 chuoi
  [49/379] OK 19_1.mp4 -> 76 frame, 8 chuoi
  [50/379] OK 19_10.mp4 -> 69 frame, 6 chuoi
  [51/379] OK 19_11.mp4 -> 99 frame, 12 chuoi
  [52/379] OK 19_12.mp4 -> 65 frame, 6 chuoi
  [53/379] OK 19_2.mp4 -> 57 frame, 4 chuoi
  [54/379] OK 19_3.mp4 -> 53 frame, 3 chuoi
  [55/379] OK 19_4.mp4 -> 70 frame, 7 chuoi
  [56/379] OK 19_5.mp4 -> 69 frame, 6 chuoi
  [57/379] OK 19_6.mp4 -> 51 frame, 3 chuoi
  [58/379] OK 19_7.mp4 -> 100 frame, 13 chuoi
  [59/379] OK 19_8.mp4 -> 108 frame, 14 chuoi
  [60/379] OK 19_9.mp4 -> 127 frame, 18 chuoi
  [61/379] OK 1_1.mp4 -> 88 frame, 10 chuoi
  [62/379] OK 1_10.mp4 -> 65 frame, 6 chuoi
  [63/379] OK 1_11.mp4 -> 94 frame, 11 chuoi
  [64/379] OK 1_12.mp4 -> 77 frame, 8 chuoi
  [65/379] OK 1_13.mp4 -> 72 frame, 7 chuoi
  [66/379] OK 1_14.mp4 -> 71 frame, 7 chuoi
  [67/379] OK 1_15.mp4 -> 115 frame, 16 chuoi
  [68/379] OK 1_16.mp4 -> 64 frame, 5 chuoi
  [69/379] BO QUA 1_17.mp4 (chi co 39 frame co pose < 40)
  [70/379] OK 1_18.mp4 -> 64 frame, 5 chuoi
  [71/379] OK 1_19.mp4 -> 45 frame, 2 chuoi
  [72/379] OK 1_2.mp4 -> 120 frame, 17 chuoi
  [73/379] OK 1_20.mp4 -> 61 frame, 5 chuoi
  [74/379] BO QUA 1_21.mp4 (chi co 27 frame co pose < 40)
  [75/379] OK 1_3.mp4 -> 90 frame, 11 chuoi
  [76/379] OK 1_4.mp4 -> 118 frame, 16 chuoi
  [77/379] OK 1_5.mp4 -> 84 frame, 9 chuoi
  [78/379] OK 1_6.mp4 -> 55 frame, 4 chuoi
  [79/379] OK 1_7.mp4 -> 93 frame, 11 chuoi
  [80/379] OK 1_8.mp4 -> 81 frame, 9 chuoi
  [81/379] OK 1_9.mp4 -> 88 frame, 10 chuoi
  [82/379] OK 20_1.mp4 -> 75 frame, 8 chuoi
  [83/379] OK 20_10.mp4 -> 74 frame, 7 chuoi
  [84/379] OK 20_11.mp4 -> 107 frame, 14 chuoi
  [85/379] OK 20_2.mp4 -> 115 frame, 16 chuoi
  [86/379] OK 20_3.mp4 -> 130 frame, 19 chuoi
  [87/379] OK 20_4.mp4 -> 90 frame, 11 chuoi
  [88/379] OK 20_5.mp4 -> 161 frame, 25 chuoi
  [89/379] OK 20_6.mp4 -> 68 frame, 6 chuoi
  [90/379] OK 20_7.mp4 -> 104 frame, 13 chuoi
  [91/379] OK 20_8.mp4 -> 60 frame, 5 chuoi
  [92/379] OK 20_9.mp4 -> 85 frame, 10 chuoi
  [93/379] OK 21_1.mp4 -> 110 frame, 15 chuoi
  [94/379] OK 21_10.mp4 -> 94 frame, 11 chuoi
